"venue_id","director_id","name","game_type","tournament_format","tournament_date","start_time","entry_fee","added_money","game_spot","race","table_size","equipment","number_of_tables","max_fargo","required_fargo_games","reports_to_fargo","open_tournament","calcutta","phone_number","description","timezone","side_pots","chip_ranges","thumbnail","is_recurring"
"174","47","10 Ball - 1150 & Under","10 Ball","2026-03-21","12:00","200",,"1150","9188600544","America/Chicago","","FALSE","FALSE","7ft","FALSE","false","false","false","","","","","","","false"
"174","47","1050 & Under Scotch 9-Ball","9 Ball Scotch Doubles","2026-04-04","12:00","125",,"1050","","America/Chicago","","FALSE","FALSE","7ft","FALSE","false","false","false","","","","","","","false"
"174","47","1050 & Under Scotch 9-Ball Tournament","9 Ball Scotch Doubles","double_elimination","2026-04-04","12:00","125",,"7/6","7ft","","",,,"1050","false","false","false","","$125 entry per team includes green and admin fees. Optional $40 winner take all side pot. Added money (amount not specified on flyer). 1050 & under combined Fargo cap. Race to 7 top / 6 bottom. Alternate breaks. No 3 foul rule. Jump cues allowed. Modified BCA rules. 200 minimum Fargo games required, TD discretion in effect. 2-day event April 4-5 if needed. Signups 11AM-noon, players meeting follows. Located at 7822 W Parkway Blvd, Tulsa OK.","America/Chicago","","","","false"
"197","47","1075 & Under 10-Ball Doubles Tournament","10 Ball Scotch Doubles","double_elimination","2026-03-21","15:00","70",,"5/4","7ft","","","24","1075","400","false","false","true","","$60 entry + $10 green fee. 1075 & under combined team Fargo cap (doubles). BCA rules. Race 5/4. 400 robustness required. 24 team max. Calcutta at 2PM. $50 side pot pays top 3. $20 winner take all side pot. Signup 1PM, calcutta 2PM, start 3PM. Located at 2911 Primrose Dr, Waco TX.","America/Chicago","","","","false"
"130","47","10-Ball 530 & Under","10 Ball","double_elimination","2026-03-21","10:00","70",,"","6/5","7ft","",,"530","200","false","false","true","7277364088","$60 entry + $10 admin fee. 530 Fargo and under, must be at 530 or below at sign-up. 5 point buffer. 200 robustness needed or locally approved. BCA rules. 2 behind the 9 touching. Race 6/5, winners final to 7. No 10 on break. Double elimination. Handicapped: every 50 points a game, max 3. +1 higher 7-6 race, -1 lower 7-5 race, +1 higher 8-5 race. Doors open 10am. Calcutta at 11:30, 5% admin fee on calcutta. Contact Bobby Haney on Facebook to sign up.","America/New_York","","","","false"
"131","47","1175 & Under Scotch Doubles 9-Ball Tournament","9 Ball Scotch Doubles","double_elimination","2026-03-29","11:30","200",,"","","7ft","",,"1175",,"false","false","false","","$200 entry. 1175 & under combined team Fargo cap. 32 team max field. Races by Fargo difference: 000-100 = 6/6, 101-200 = 6/5, 201-300 = 7/5. Payout with full field: 1st $2,500, 2nd $1,700, 3rd $1,100, 4th $700, 5th-6th $200. Located at 1607 W Jefferson St, Joliet IL.","America/Chicago","","","","false"
"195","47","1250 & Under 10-Ball Scotch Doubles","10 Ball Scotch Doubles","2026-04-11","15:00","400","1000","8177911722","America/Chicago","","FALSE","TRUE","7ft","FALSE","1250 & under combined Fargo team cap;  entry includes TD fee; ,000 added with 48 teams; WPA rules; Races to 4; Best 2 of 3 sets; Winner break in racks / alternating break in sets; Double elimination; Rack your own; 10-ball must be last ball made; Jump cues allowed; Played on 7ft Diamonds; TD discretion on playing ability if not established; Online auction April 6-8;  side pot pays top 4 /  side pot WTA;  non-refundable deposit to lock in spot; Doors open 10AM; Check-in 2:30PM; Players meeting 3PM; Zelle: Live Action Billiards 817-791-1722; CashApp: ; Venmo: @Live-Action-Billiards; PayPal: @diasjl1975; TD: Hollywood 817-791-1722; Organizer: Live Action Billiards; 3151 S Cooper St Ste 140 Arlington TX 76015","false","false","false","","","","","","","false"
"195","47","1250 & Under 10-Ball Scotch Doubles Tournament","10 Ball Scotch Doubles","double_elimination","2026-04-11","14:30","400","1000","","","7ft","Diamond",,"1250",,"false","false","true","8177911722","$400 entry includes TD fee. $50 non-refundable deposit to lock in spot. 2-day event April 11 & 12. 1250 & under combined team Fargo cap (scotch doubles). $1,000 added with 48 team cap. WPA rules. Races to 4, best 2 of 3 sets. Winner break in racks, alternating break in sets. Double elimination. Rack your own. 10-ball must be last ball made. Jump cues allowed. Played on 7ft Diamonds. TD discretion on playing ability if not established. Online calcutta auction April 6-8. $100 side pot pays top 4. $50 side pot WTA. Doors open 10am, check-in 2:30pm, player meeting 3:00pm. Payment: Zelle Live Action Billiards 817-791-1722, CashApp $LiveActionBilliards, Venmo @Live-Action-Billiards, PayPal @diazjl1975. TD: Hollywood 817-791-1722.","America/Chicago","","","","false"
"253","47","2 PM No Fargo Cap 9-Ball Tournament","9 Ball","double_elimination","2026-03-22","14:00","20",,"","4/3","7ft","",,,,"false","true","false","","$20 entry. 100% payout to players. No Fargo cap. BCA rules. 9-Ball format. 50 point Fargo spot. Front side race to 4, back side race to 3. Runs every Sunday. Hosted by Runout Nation.","America/Denver","","","","true"
"240","47","2026 Cue Sports Media Tour - 3 Man Mosconi 89er","8 Ball","2026-04-11","12:00","120",,"1400","9034613388","America/Chicago","","FALSE","FALSE","7ft","FALSE","false","false","false","","","","","","","false"
"252","47","2nd Annual Ty Sam Memorial - Men's Bracket","8 Ball","2026-04-11","11:30","50",,,"8636979653","America/New_York","","TRUE","TRUE","7ft","FALSE","false","false","false","","","","","","","false"
"252","47","2nd Annual Ty Sam Memorial - Women's Bracket","8 Ball","2026-04-11","11:30","50",,,"8636979653","America/New_York","","TRUE","TRUE","7ft","FALSE","false","false","false","","","","","","","false"
"195","47","400 & Under 9-Ball Tournament","9 Ball","double_elimination","2026-04-25","11:00","200","1000","","6/5","7ft","Diamond",,"400",,"false","false","true","8177911722","$200 entry includes TD fee. $50 non-refundable deposit to lock in spot. 2-day event April 25 & 26. $1,000 added with 64 player cap. BCA rules. Alternate break. Race 6/5. Double elimination. 7ft Diamonds. Jump cues allowed. Rack your own. TD discretion on playing ability if not established. Online auction April 20-22. $100 side pot pays top 4. $50 side pot WTA. Doors open 10am, check-in 11am, player meeting 11:30am. Payment: Zelle/CashApp/Venmo/PayPal to Live Action Billiards. TD: Hollywood 817-791-1722.","America/Chicago","","","","false"
"253","47","450 Fargo & Under Friday Night","8 Ball","double_elimination","2026-03-20","00:00","20",,"","","7ft","",,"450",,"false","false","false","","$20 entry, 100% payout to players. Sign up via link in post. 450 Fargo & Under. BCA Rules. 8-Ball Front / 9-Ball Back. No Slop / No Snap. Wild 9 on the Back Side. Front Side: Race to 4, Back Side: Race to 3. Spot system: 1 game per 75 points, max 2 game spot.","America/Denver","","","","true"
"141","47","499 & Under 8-Ball Tournament","8 Ball","double_elimination","2026-03-21","11:00","70","200","","4/3","7ft","Diamond",,,"499","false","false","false","TRUE","7579953799","$60 entry + $10 greens fee. $200 added with 30 players. Player auction at 11AM. True double elimination. Race to 4 winners / 3 losers. 499 Fargo hard cap. 200 robustness or director's approval. Rack your own. Alternate breaks. 8 on break does not count. No soft breaks. Call all shots. Modified ACS/BCA rules. Director reserves right to refuse entry. Signups 10AM, auction 11AM. To sign up text or message Jesse on Facebook 757-995-3799. Located at 4828 14th Street West, Bradenton FL 34207.","America/New_York","","","false"
"13","47","550 & Under 8-Ball Tournament","8 Ball","2026-03-28","13:00","40",,"550","5172027482","America/New_York","","FALSE","FALSE","7ft","FALSE","false","false","false","","","","","","","false"
"150","47","575 & Under Eight-Ball Singles","8 Ball","double_elimination","2026-04-25","10:00","80",,"","","7ft","",,"575",,"false","false","false","","$80 entry per player includes $10 towards greens fee. 2 optional side pots. Doors/registration 10 AM, matches start 11 AM. Race to 4 on front / race to 3 on back. Wood rack only. 1-game spot per 100 point difference, 2-game max spot. 1-game spot is a 4-3 race, 2-game spot is a 5-3 race, both sides. 575 & under Fargo cap. Robustness of 200 or above required unless approved by TD. Fargo rate locked at sign-up unless 10+ point fluctuation before event.","America/Denver","","","","false"
"195","47","599 & Under 9-Ball Tournament","9 Ball","double_elimination","2026-03-21","11:00","300","1000","","8/7","7ft","Diamond",,"599",,"false","false","true","8177911722","$300 entry includes TD fee. $50 non-refundable deposit to lock in spot. 2-day event March 21 & 22. 599 Fargo and under cap. 64 player cap. $1,000 added with 64 players. BCA rules. Winner break. Race 8/7. Double elimination. Rack your own. Jump cues allowed. Played on 7ft Diamonds. 9-ball must be last ball made. TD discretion on playing ability if not established. Online auction March 16-18 (auction dates have passed; tournament upcoming March 21). $100 side pot pays top 4. $50 side pot WTA. Doors open 10am, check-in 11am, player meeting 11:30am. Payment: Zelle Live Action Billiards 817-791-1722, CashApp $LiveActionBilliards, Venmo @Live-Action-Billiards, PayPal @diazjl1975. TD: Hollywood 817-791-1722.","America/Chicago","","","","false"
"253","47","6 PM No Fargo Cap 9-Ball Tournament","9 Ball","double_elimination","2026-03-22","18:00","20",,"","4/3","7ft","",,,,"false","true","false","","$20 entry. 100% payout to players. No Fargo cap. BCA rules. 9-Ball format. 50 point Fargo spot. Front side race to 4, back side race to 3. Runs every Sunday. Hosted by Runout Nation.","America/Denver","","","","true"
"195","47","600 & Above 10-Ball Tournament","10 Ball","double_elimination","2026-03-21","14:30","200","500","","9/7","9ft","Diamond",,,,"false","false","true","8177911722","$200 entry includes TD fee. $50 non-refundable deposit to lock in spot. 2-day event March 21 & 22. 600 Fargo and above only (minimum Fargo restriction - no max cap). 32 player cap. Robustness must be at 800 or more (no exceptions). $500 added with 32 players. BCA rules. Winner break. Race 9/7. Double elimination. Rack your own. Jump cues allowed. Played on 9ft Diamonds. Handicapped: 1 game spot for every 40 Fargo point difference, 3 max on winners side / 2 max on losers side. Online auction March 16-18 (auction dates have passed; tournament upcoming March 21). $100 side pot pays top 4. $50 side pot WTA. Doors open 10am, check-in 2:30pm, player meeting 3:00pm. Payment: Zelle Live Action Billiards 817-791-1722, CashApp $LiveActionBilliards, Venmo @Live-Action-Billiards, PayPal @diazjl1975. TD: Hollywood 817-791-1722.","America/Chicago","","","","false"
"238","47","650 & Under 8-Ball Tournament","8 Ball","double_elimination","2026-03-28","09:00","100","1000","","","","",,"650",,"false","false","true","6016691119","$100 entry includes registration and green fee. $1,000 added with full field. 96 player max. 650 Fargo & Under. Ball in hand. Winner breaks. Rack your own. No 3 fouls. Cue ball fouls only. Jump cues allowed. Cannot win or lose on the break. 3 mystery bounty players. $100 last woman standing with 6+ ladies and full roster. Lottery ticket sale: 1 for $10, 6 for $50, 14 for $100 ? 3 lottery drawings, all opponents to lottery winners add a game. Calcutta 10AM. Sign up 8-9AM, players meeting 9-10AM. 2-day event March 28-29. Payment: Venmo Michael-Johnese, CashApp $DLJ2282. Contact: 601-669-1119. Located at 1071 I-55 W Frontage Road, Terry MS.","America/New_York","","","","false"
"234","47","8 Ball Scotch Doubles - 1150 & Under","8 Ball Scotch Doubles","2026-04-11","12:00","200",,"1150","","America/Chicago","","FALSE","TRUE","7ft","FALSE","false","false","false","","","","","","","false"
