"venue_id","director_id","name","game_type","tournament_format","tournament_date","start_time","entry_fee","added_money","game_spot","race","table_size","equipment","number_of_tables","max_fargo","required_fargo_games","reports_to_fargo","open_tournament","calcutta","phone_number","description","timezone","side_pots","chip_ranges","thumbnail","is_recurring"
"174","47","10 Ball - 1150 & Under","10 Ball","2026-03-21","12:00","200","","1150","9188600544","America/Chicago","","FALSE","FALSE","7ft","FALSE"," WTA side pot optional; Races 9/7; 3 Foul Rule; No Early 10 Ball; Alternate Break; Flip for Break; Jump Cues Allowed; BCA Rules; 200 min Fargo games required",,,,,,,,,"false"
"174","47","1050 & Under Scotch 9-Ball","9 Ball Scotch Doubles","2026-04-04","12:00","125","","1050","","America/Chicago","","FALSE","FALSE","7ft","FALSE","/team includes green & admin;  optional WTA side pot; Race to 7 top/6 bottom; Alternate Breaks; No 3 Foul; Jump Cues Allowed; BCA Modified Rules; 200 min Fargo games; April 5th if needed",,,,,,,,,"false"
"174","47","1050 & Under Scotch 9-Ball Tournament","9 Ball Scotch Doubles","double_elimination","2026-04-04","12:00","125","","7/6","7ft","","","","","1050","FALSE","FALSE","FALSE","","$125 entry per team includes green and admin fees. Optional $40 winner take all side pot. Added money (amount not specified on flyer). 1050 & under combined Fargo cap. Race to 7 top / 6 bottom. Alternate breaks. No 3 foul rule. Jump cues allowed. Modified BCA rules. 200 minimum Fargo games required, TD discretion in effect. 2-day event April 4-5 if needed. Signups 11AM-noon, players meeting follows. Located at 7822 W Parkway Blvd, Tulsa OK.","America/Chicago","","","","false"
"197","47","1075 & Under 10-Ball Doubles Tournament","10 Ball Scotch Doubles","double_elimination","2026-03-21","15:00","70","","5/4","7ft","","","24","1075","400","FALSE","FALSE","TRUE","","$60 entry + $10 green fee. 1075 & under combined team Fargo cap (doubles). BCA rules. Race 5/4. 400 robustness required. 24 team max. Calcutta at 2PM. $50 side pot pays top 3. $20 winner take all side pot. Signup 1PM, calcutta 2PM, start 3PM. Located at 2911 Primrose Dr, Waco TX.","America/Chicago","","","","false"
"130","47","10-Ball 530 & Under","10 Ball","double_elimination","2026-03-21","10:00","70","","","6/5","7ft","","","530","200","FALSE","FALSE","TRUE","7277364088","$60 entry + $10 admin fee. 530 Fargo and under, must be at 530 or below at sign-up. 5 point buffer. 200 robustness needed or locally approved. BCA rules. 2 behind the 9 touching. Race 6/5, winners final to 7. No 10 on break. Double elimination. Handicapped: every 50 points a game, max 3. +1 higher 7-6 race, -1 lower 7-5 race, +1 higher 8-5 race. Doors open 10am. Calcutta at 11:30, 5% admin fee on calcutta. Contact Bobby Haney on Facebook to sign up.","America/New_York","","","","false"
"131","47","1175 & Under Scotch Doubles 9-Ball Tournament","9 Ball Scotch Doubles","double_elimination","2026-03-29","11:30","200","","","","7ft","","","1175","","FALSE","FALSE","FALSE","","$200 entry. 1175 & under combined team Fargo cap. 32 team max field. Races by Fargo difference: 000-100 = 6/6, 101-200 = 6/5, 201-300 = 7/5. Payout with full field: 1st $2,500, 2nd $1,700, 3rd $1,100, 4th $700, 5th-6th $200. Located at 1607 W Jefferson St, Joliet IL.","America/Chicago","","","","false"
"195","47","1250 & Under 10-Ball Scotch Doubles","10 Ball Scotch Doubles","2026-04-11","15:00","400","1000","8177911722","America/Chicago","","FALSE","TRUE","7ft","FALSE","1250 & under combined Fargo team cap;  entry includes TD fee; ,000 added with 48 teams; WPA rules; Races to 4; Best 2 of 3 sets; Winner break in racks / alternating break in sets; Double elimination; Rack your own; 10-ball must be last ball made; Jump cues allowed; Played on 7ft Diamonds; TD discretion on playing ability if not established; Online auction April 6-8;  side pot pays top 4 /  side pot WTA;  non-refundable deposit to lock in spot; Doors open 10AM; Check-in 2:30PM; Players meeting 3PM; Zelle: Live Action Billiards 817-791-1722; CashApp: ; Venmo: @Live-Action-Billiards; PayPal: @diasjl1975; TD: Hollywood 817-791-1722; Organizer: Live Action Billiards; 3151 S Cooper St Ste 140 Arlington TX 76015",,,,,,,,,,"false"
"195","47","1250 & Under 10-Ball Scotch Doubles Tournament","10 Ball Scotch Doubles","double_elimination","2026-04-11","14:30","400","1000","","","7ft","Diamond","","1250","","FALSE","FALSE","TRUE","8177911722","$400 entry includes TD fee. $50 non-refundable deposit to lock in spot. 2-day event April 11 & 12. 1250 & under combined team Fargo cap (scotch doubles). $1,000 added with 48 team cap. WPA rules. Races to 4, best 2 of 3 sets. Winner break in racks, alternating break in sets. Double elimination. Rack your own. 10-ball must be last ball made. Jump cues allowed. Played on 7ft Diamonds. TD discretion on playing ability if not established. Online calcutta auction April 6-8. $100 side pot pays top 4. $50 side pot WTA. Doors open 10am, check-in 2:30pm, player meeting 3:00pm. Payment: Zelle Live Action Billiards 817-791-1722, CashApp $LiveActionBilliards, Venmo @Live-Action-Billiards, PayPal @diazjl1975. TD: Hollywood 817-791-1722.","America/Chicago","","","","false"
"253","47","2 PM No Fargo Cap 9-Ball Tournament","9 Ball","double_elimination","2026-03-22","14:00","20","","","4/3","7ft","","","","","FALSE","TRUE","FALSE","","$20 entry. 100% payout to players. No Fargo cap. BCA rules. 9-Ball format. 50 point Fargo spot. Front side race to 4, back side race to 3. Runs every Sunday. Hosted by Runout Nation.","America/Denver","","","","true"
"240","47","2026 Cue Sports Media Tour - 3 Man Mosconi 89er","8 Ball","2026-04-11","12:00","120","","1400","9034613388","America/Chicago","","FALSE","FALSE","7ft","FALSE","3-man team format (Mosconi-style); Fargo cap 1400 combined team;  entry per team includes  admin fee; Capped at 16 teams;  added with 8 teams /  added with 16 teams; BCA rules; Race to 7; Scotch triples for tiebreaker; 1 timeout per rack during doubles/triples; Min 200 robustness; 1400 or under at time of sign up ? 5 point cushion; TD will convert other ratings; If not established rating at TD discretion; Doors open 11AM; Players meeting 12PM; Sign up: Sam O'Bier 903-461-3388; Organizer: Cue Sports Media Tour; 18714 US Hwy 69 N Lindale TX 75771",,,,,,,,,"false"
