"venue_id","director_id","name","game_type","tournament_format","tournament_date","start_time","entry_fee","added_money","game_spot","race","table_size","equipment","number_of_tables","max_fargo","required_fargo_games","reports_to_fargo","open_tournament","calcutta","phone_number","description","timezone","side_pots","chip_ranges","thumbnail","is_recurring"
"","47","10 Ball Monday - 555 & Under","10 Ball","2026-03-23","20:00","25","","555","4059006782","America/Chicago","weekly","FALSE","FALSE","7ft","FALSE","555 & under; sign ups 6PM matchups by 8PM;  optional side pot; races to 3 with game spot every 60 pts; worst race 4-2 on front; all call pocket; 10 no count on break; alternate break/rack your own; 3 foul rule; jump cues allowed; pays top gal w/3+ ladies; 3007 SE 44th OKC OK",,,,,,,,,"false"
"","47","10-Ball Open Tournament","10 Ball","2026-03-21","12:00","20","","","2488413644","America/New_York","","FALSE","FALSE","7ft","TRUE","Tiered entry: 424 & under= / 425-499= / 500-574= / 575-649= / 650+=; Submitted to Fargo; 32 player cap; BCA rules; No early 10s; A side/B side: race 5/4 with under 16 players / race 4/3 with 16+ players; 1 hour 30 second shot clock; Magic racks / rack your own; Alternate break;  side pot /  WTA; Doors 10AM; Start 12PM; Pre-register with Chris 248-841-3644; 879 S Lapeer Rd Oxford MI 48371",,,,,,,,,"false"
"","47","25th Spring Wormo - Jack & Jill 8-Ball Scotch Doubles","8 Ball Scotch Doubles","double_elimination","2026-04-23","18:00","90","2000","","4/4","7ft","","","32","","","FALSE","FALSE","FALSE","3853688187","$90 entry includes admin/greens fees. $2,000 added. 32 team cap. Race to 4/4. Alternate breaks. 8-Ball championships. Players meeting 6PM sharp April 23rd, play starts after. Amateur tournament 719 & under as of Feb 1st. Registration Feb 1 - April 16, 2026. Late registration fee $20 on April 16th. No cancels after April 16th. Register and pay via Venmo @Carl-Wormsbaker. TD: Jewels De Prince 385-368-8187. Located at The Pocket, 1532 Kimberly Rd, Twin Falls ID 83301. Ph: 208-733-9676.","America/Denver","","","false"
"","47","25th Spring Wormo - Men's 8-Ball Singles","8 Ball","double_elimination","2026-04-24","18:00","100","2000","","5/5","7ft","","","64","","","FALSE","FALSE","FALSE","3853688187","$100 entry includes admin/greens fees. $2,000 added (shared across events). 64 player cap (first 64 paid). Race to 5/5. Alternate breaks. Amateur tournament 719 & under as of Feb 1st. Players meeting 6PM sharp Friday April 24th. Registration Feb 1 - April 16, 2026. Late registration fee $20 on April 16th. No cancels after April 16th. Register and pay via Venmo @Carl-Wormsbaker. TD: Jewels De Prince 385-368-8187. Located at The Pocket, 1532 Kimberly Rd, Twin Falls ID 83301.","America/Denver","","","false"
"","47","25th Spring Wormo - Women's 8-Ball Singles","8 Ball","double_elimination","2026-04-24","18:00","70","2000","","4/4","7ft","","","32","","","FALSE","FALSE","FALSE","3853688187","$70 entry includes admin/greens fees. $2,000 added (shared across events). 32 player cap (first 32 paid). Race to 4/4. Alternate breaks. Amateur tournament 719 & under as of Feb 1st. Players meeting 6PM sharp Friday April 24th. Registration Feb 1 - April 16, 2026. Late registration fee $20 on April 16th. No cancels after April 16th. Register and pay via Venmo @Carl-Wormsbaker. TD: Jewels De Prince 385-368-8187. Located at The Pocket, 1532 Kimberly Rd, Twin Falls ID 83301.","America/Denver","","","false"
"","47","475 & Under 9-Ball Tournament","9 Ball","double_elimination","2026-03-22","16:00","25","","","","7ft","Diamond","","","475","","FALSE","TRUE","FALSE","","$25 entry, green fee included. 475 & Under Fargo cap. Beginners welcome. Sign ups 3PM, starts 4PM. Gift card giveaways and bottle giveaways. $5 enchiladas, rice and beans plate available. Diamond tables. Every Sunday. Located at 8810 Broadway, San Antonio TX 78217.","America/Chicago","","","false"
"","47","505 & Under 10-Ball Tournament","10 Ball","2026-03-21","10:00","65","200","","5035452598","America/Los_Angeles","","FALSE","FALSE","7ft","FALSE","505 & under Fargo;  buy-in;  top 4 side pot /  WTA side pot;  added with full field; 10-Ball; Race to 6/5; 48 entry cap; BCA rules; RYO; Alternating break; Template rack required; Min 200 robustness ? exceptions at TD discretion; Check-in by 9:45AM; Start 10AM; Sign up: Facebook message or text Stephanie Cantu 503-936-4836 / JD Cantu 503-545-2598; 1003 7th St Oregon City OR",,,,,,,,,"false"
"","47","600 & Under 9-Ball Shootout","9 Ball","double_elimination","2026-05-23","00:00","","275","","11/9","7ft","","","600","300","FALSE","FALSE","FALSE","","$275 entry includes $25 green fee. Money added (amount not specified on flyer). 64 player cap. Race to 11/9. 300 game robustness required. $50 non-refundable deposit due by May 15th ? no exceptions unless venue cancels due to lack of interest. 3-day event May 23-25. Located in Wichita Falls TX. Organized by The Poolin Around Show.","America/Chicago","","","","false"
"","47","600 & Under 9-Ball Tournament","9 Ball","2026-03-29","14:00","80","","600","","America/New_York","","FALSE","TRUE","7ft","FALSE"," entry includes  admin fee +  greens fee; 600 & under Fargo; First 32 players ? 32 max; Race to 4; Alternating breaks; 3-foul rule; Rack your own; Texas Express rules; Doors open 12PM; Calcutta 1PM; Tournament start 2PM; Port Charlotte FL",,,,,,,,,"false"
"","47","600 & Under Fargo Rated 9-Ball Tournament","9 Ball","double_elimination","2026-03-29","14:00","80","","4","7ft","","","600","","TRUE","FALSE","TRUE","9414216393","$80 entry includes $10 admin fee and $5 greens fee. 600 & Under Fargo cap. Fargo rated event. Race to 4. Alternating breaks. 3 foul rule. Rack your own. Texas Express rules. 32 player cap ? first 32 to sign up. Calcutta at 1PM. Doors open 12PM, start 2PM. Contact Kim Dyer 941-421-6393. Located at Veterans Billiards, Port Charlotte FL.","America/New_York","","","","","false"
"","47","600 & Under Fargo-Rated 8-Ball Tournament","8 Ball","double_elimination","2026-06-20","12:00","120","","","","7ft","","","600","","TRUE","FALSE","FALSE","","$120 entry includes all fees. 600 & Under Fargo cap. Fargo rated. 64 player cap. Doors open 11AM, sign ups 11:30AM, players meeting noon. Rules and racks gone over day of event. Located in Muncie IN. Organized by Hoosier Open 9-Ball Tour.","America/New_York","","","","false"
"","47","650 & Under 8-Ball Tournament","8 Ball","2026-04-25","11:00","75","","650","3612186095","America/Chicago","","FALSE","TRUE","7ft","FALSE"," entry GF included; 650 & under Fargo; Alt breaks; Race 3/3; BCA rules; Tiered added money: 16 players= / 24 players= / 32+ players=; 50/50 raffle; Doors open 9AM; Sign up 10AM; Calcutta 11AM; Play right after; Must be present at calcutta ? no exceptions; TD: Yvonne 361-218-6095; 4102 N Navarro Victoria TX 77901",,,,,,,,,"false"
"","47","6th Annual Jon Jones Pool Players Memorial Tournament","8 Ball Scotch Doubles","2026-03-28","12:00","60","","","","America/Chicago","","FALSE","TRUE","7ft","FALSE","Scotch Doubles /team; APA skill level 10 & under combined team cap; APA rules; Race to 3/2; Handicap by highest active league rating ? APA chart: SL3=330 & under Fargo / SL4=331-397 / SL5=398-463 / SL6=464-529 / SL7=530+ Fargo; If not currently active contact Jon Boster to determine handicap before tournament day; Registration & doors open 11AM; Memorial tribute presentation at noon; Auction & tourney immediately following; Game type listed as 8 Ball Scotch Doubles ? APA scotch doubles defaults to 8-ball but not explicitly stated on flyer; Blue Springs MO",,,,,,,,,"false"
"","47","6th Annual Pueblo Steelcity Memorial 8 Ball Tournament","8 Ball","double-elimination","2026-04-25","10:00","80","2000","","","7ft","","","","","FALSE","FALSE","TRUE","7195688848","$80 entry fee includes $10 green fee and $10 TD fee. $2,000 added with 96 players. 2-day event April 25 & 26. Race to 5W & 5L. BCA rules. Alternate break. Online calcutta. No Pros. 96 player cap. Doors open 9:00 AM, tournament starts 10:00 AM. Pays top 2 woman shooters (tournament and calcutta). Mandatory sign-up and payment in advance, no refunds. Payment via Venmo @Gabriel-Ayala-56. Registration: Gabe Ayala 719-568-8848, Stephen Northam 719-415-7114.","America/Denver","","","","false"
"","47","7th Annual Gary Lanier 8-Ball Pool Tournament","8 Ball","double_elimination","2026-04-11","10:00","40","","4/4","7ft","","","","","FALSE","TRUE","FALSE","","$40 entry. No handicap. Race to 4/4. Rules announced before play. Located at Cornhole Etc. (no address or city/state on flyer).","America/New_York","","","","","false"
"","47","8 Ball - 470 & Under","8 Ball","2026-03-28","13:00","200","500","470","","","","FALSE","FALSE","7ft","FALSE","Double elimination; race to 5 winner/3 loser;  entry minus  admin & GF;  guaranteed; 300 robustness in Fargo or known by TD; BCA rules; city/state unknown",,,,,,,,,"false"
